tripID,startTime,endTime,startStationID,endStationID,start_lat,start_lng,end_lat,end_lng,stationID,type,latitude,longitude,time
0A2D8C382ADFEB7D,2023-09-01 07:00:06,2023-09-01 07:16:59,B32002,M32035,42.336244,-71.087986,42.366447,-71.076546,,,,,
5DC37B7CC73557DF,2023-09-01 07:00:22,2023-09-01 07:02:24,M32012,M32011,42.366426,-71.105495,42.36507,-71.1031,,,,,
0A8A0CAF2114B8AF,2023-09-01 07:00:57,2023-09-01 07:08:50,S32003,M32067,42.378754,-71.107072,42.372077,-71.089954,,,,,
0270B1EBF0ED5A2C,2023-09-01 07:01:20,2023-09-01 07:11:47,S32020,M32018,42.390446,-71.108566,42.373268,-71.118579,,,,,
31BC34150F202A58,2023-09-01 07:01:20,2023-09-01 07:15:45,M32013,D32016,42.373379,-71.111075,42.360793,-71.07119,,,,,
A2C1CEBB72CAEB0B,2023-09-01 07:01:51,2023-09-01 07:13:07,B32061,M32082,42.358478,-71.061351,42.363045,-71.082871,,,,,
644D9D4061A06EA6,2023-09-01 07:02:50,2023-09-01 07:14:18,M32027,D32000,42.366088,-71.086336,42.361257,-71.065287,,,,,
63FB54AA000B64DA,2023-09-01 07:04:58,2023-09-01 07:11:16,M32073,A32011,42.368952,-71.109988,42.363713,-71.124598,,,,,
FA223D7F78F5CC98,2023-09-01 07:04:59,2023-09-01 07:24:16,A32001,M32026,42.353334,-71.137313,42.370803,-71.104412,,,,,
F8A086B5037B0524,2023-09-01 07:05:03,2023-09-01 07:09:14,M32011,M32073,42.36507,-71.1031,42.368952,-71.109988,,,,,
B88FCAF9FB4DB45A,2023-09-01 07:05:09,2023-09-01 07:11:45,D32016,M32037,42.360793,-71.07119,42.3625,-71.08822,,,,,
AC16453906AB4986,2023-09-01 07:05:23,2023-09-01 07:22:46,M32022,S32004,42.357219,-71.113872,42.383639,-71.108537,,,,,
A1C082E59EF4FCC9,2023-09-01 07:05:30,2023-09-01 07:13:48,M32026,M32018,42.370803,-71.104412,42.373268,-71.118579,,,,,
C8DC9046533F5A9D,2023-09-01 07:05:36,2023-09-01 07:15:00,M32038,M32044,42.369239,-71.11687,42.381651,-71.13427,,,,,
F287071495E06E15,2023-09-01 07:05:49,2023-09-01 07:14:21,M32027,D32000,42.366088,-71.086336,42.361257,-71.065287,,,,,
4774E570CD09A16C,2023-09-01 07:06:55,2023-09-01 07:15:09,S32004,M32023,42.383639,-71.108537,42.377945,-71.116865,,,,,
8E076BAFAFF5A261,2023-09-01 07:07:10,2023-09-01 07:17:02,M32002,B32016,42.366277,-71.09169,42.350827,-71.089811,,,,,
71104C61B3B3615F,2023-09-01 07:07:37,2023-09-01 07:13:08,M32042,M32005,42.355601,-71.103945,42.362131,-71.091156,,,,,
AB45E9D722665378,2023-09-01 07:07:45,2023-09-01 07:17:52,D32016,M32055,42.360793,-71.07119,42.365994,-71.095222,,,,,
4F9E7D03A2FE3A93,2023-09-01 07:08:01,2023-09-01 07:27:19,M32063,D32043,42.368605,-71.099302,42.349426,-71.0621,,,,,
176D6E139BC81C2B,2023-09-01 07:08:43,2023-09-01 07:22:04,D32053,M32078,42.384452,-71.075149,42.36642,-71.088542,,,,,
971C1FF14A530554,2023-09-01 07:09:26,2023-09-01 07:26:03,M32039,B32016,42.386748,-71.119019,42.350827,-71.089811,,,,,
B4CBE86DD2822C24,2023-09-01 07:09:29,2023-09-01 07:18:23,S32003,M32072,42.378754,-71.107072,42.363004,-71.08974,,,,,
E0BCCDA50BED8FD3,2023-09-01 07:09:38,2023-09-01 07:30:35,M32056,D32016,42.39121,-71.122608,42.360793,-71.07119,,,,,
D5248EA6DEB5AA9A,2023-09-01 07:09:40,2023-09-01 07:24:14,M32012,M32047,42.366426,-71.105495,42.357753,-71.103934,,,,,
CFE65FBDB3ACD28D,2023-09-01 07:09:55,2023-09-01 07:30:37,D32006,M32052,42.363871,-71.050877,42.371197,-71.097599,,,,,
FB391DF09E6AA508,2023-09-01 07:10:15,2023-09-01 07:24:48,M32059,M32017,42.363693,-71.087567,42.373329,-71.120986,,,,,
71EA70BFEC33F579,2023-09-01 07:10:40,2023-09-01 07:28:24,A32040,M32061,42.360274,-71.128525,42.361358,-71.096703,,,,,
EB8AF403DAD46CE7,2023-09-01 07:10:46,2023-09-01 07:20:08,M32037,M32042,42.3625,-71.08822,42.355601,-71.103945,,,,,
FD4E8B6065555828,2023-09-01 07:11:00,2023-09-01 07:23:42,C32077,M32006,42.344742,-71.076482,42.3581,-71.093198,,,,,
4F1DDF74BA832CE9,2023-09-01 07:11:08,2023-09-01 07:22:54,A32025,M32081,42.365673,-71.064263,42.37308,-71.086342,,,,,
94A82E845FD198EF,2023-09-01 07:11:28,2023-09-01 07:18:35,M32044,M32018,42.381651,-71.13427,42.373268,-71.118579,,,,,
872F711262C0DDA8,2023-09-01 07:12:01,2023-09-01 07:29:11,A32025,M32042,42.365673,-71.064263,42.355601,-71.103945,,,,,
F1B6A2628CFFC137,2023-09-01 07:12:02,2023-09-01 07:22:48,M32002,M32003,42.366277,-71.09169,42.362242,-71.083111,,,,,
964A3C0C1F5BBD5B,2023-09-01 07:12:45,2023-09-01 07:34:14,S32016,M32012,42.395172,-71.098506,42.366426,-71.105495,,,,,
C6094937E8EA94E7,2023-09-01 07:13:12,2023-09-01 07:23:39,A32025,M32059,42.365673,-71.064263,42.363693,-71.087567,,,,,
3A8EE47576143D4C,2023-09-01 07:13:26,2023-09-01 07:19:18,M32026,M32018,42.370803,-71.104412,42.373268,-71.118579,,,,,
FF4A24088512D54B,2023-09-01 07:13:30,2023-09-01 07:25:25,A32023,M32055,42.37409,-71.06906,42.365994,-71.095222,,,,,
